2022-12-27 10:45:26pm,TID2033615147,Account open,_,_,0
2022-12-28 01:36:44am,TID1132442551,Self Deposite,_,_,1000
2022-12-28 02:46:59pm,TID1899831041,Self Deposite,1000,_,2000
2022-12-28 02:50:45pm,TID1716533744,Self Widthraw,_,1000,1000
2022-12-28 02:58:39pm,TID999297674,Self Deposite,1000,_,2000
2022-12-28 03:02:30pm,TID1783334034,Self Deposite,500,_,2500
2022-12-28 03:04:20pm,TID1692057501,Self Deposite,500,_,3000
2022-12-28 03:04:34pm,TID423348863,Self Widthraw,_,500,2500
2022-12-28 03:07:55pm,TID1079014583,Self Deposite,5000,_,7500
2022-12-28 03:09:00pm,TID2035315011,Self Deposite,500,_,8000
2022-12-28 03:10:03pm,TID560457096,Self Deposite,2000,_,10000
2022-12-28 03:10:38pm,TID2085797567,Self Deposite,2000,_,12000
2022-12-28 03:11:35pm,TID643838739,Self Deposite,3000,_,15000
2022-12-28 03:15:50pm,TID2070009668,Self Deposite,5000,_,20000
2022-12-28 04:21:21pm,TID553384807,Transfer to Arsh Mittal,_,10000,10000
